"models_compare_summ.models","ROC.Min.","ROC.1st.Qu.","ROC.Median","ROC.Mean","ROC.3rd.Qu.","ROC.Max.","ROC.NA.s","Sens.Min.","Sens.1st.Qu.","Sens.Median","Sens.Mean","Sens.3rd.Qu.","Sens.Max.","Sens.NA.s","Spec.Min.","Spec.1st.Qu.","Spec.Median","Spec.Mean","Spec.3rd.Qu.","Spec.Max.","Spec.NA.s"
"M5.1.GLR",0.863520408163265,0.888112464813512,0.906733814215341,0.904742378926492,0.924206104855735,0.943877551020408,0,0.839285714285714,0.861607142857143,0.875,0.883766233766234,0.900568181818182,0.946428571428571,0,0.678571428571429,0.6875,0.741379310344828,0.757389162561576,0.818965517241379,0.892857142857143,0
"M5.2.GLR_PCA",0.838010204081633,0.869513106966925,0.909856615059817,0.89574971211055,0.919199227496641,0.934948979591837,0,0.839285714285714,0.857142857142857,0.873863636363636,0.871201298701299,0.888392857142857,0.910714285714286,0,0.655172413793103,0.714285714285714,0.719211822660099,0.747044334975369,0.805726600985222,0.862068965517241,0
"M5.3.GLR_Univ",0.860221674876847,0.899333655876144,0.911154116819141,0.90884372400998,0.927776533811017,0.945790816326531,0,0.821428571428571,0.866071428571428,0.892857142857143,0.890974025974026,0.928571428571429,0.945454545454545,0,0.689655172413793,0.724137931034483,0.767857142857143,0.765147783251232,0.791256157635468,0.857142857142857,0
"M6.1.PLR",0.856527093596059,0.900823583743842,0.910120513722731,0.911548725289489,0.92589565606807,0.962372448979592,0,0.821428571428571,0.875,0.892857142857143,0.901655844155844,0.94163961038961,0.964285714285714,0,0.655172413793103,0.6875,0.719211822660099,0.726231527093596,0.75,0.821428571428571,0
"M6.2.PLR_Univ",0.865147783251232,0.896892593244194,0.919631861365236,0.912761819461327,0.933240035826243,0.959183673469388,0,0.803571428571429,0.861607142857143,0.892857142857143,0.890974025974026,0.924107142857143,0.946428571428571,0,0.689655172413793,0.724137931034483,0.737068965517241,0.751354679802956,0.778940886699507,0.857142857142857,0
